id,title,author,genre,description,rating,features
2,The Alchemist,Paulo Coelho,Fiction,A philosophical novel about following your dreams.,4.7,The Alchemist Paulo Coelho Fiction A philosophical novel about following your dreams.
4,Atomic Habits,James Clear,Self Help,A practical guide to building good habits.,8.9,Atomic Habits James Clear Self Help A practical guide to building good habits.
6,Atomic Habits,James Clear,Self Help,A practical guide to building good habits and motivational.,8.9,Atomic Habits James Clear Self Help A practical guide to building good habits and motivational.
7,The Blade Itself,Joe Abercrombie,Fantasy,Description not available.,6.9,The Blade Itself Joe Abercrombie Fantasy Description not available.
8,The Hero of Ages,Brandon Sanderson,Fantasy,Description not available.,8.4,The Hero of Ages Brandon Sanderson Fantasy Description not available.
9,The Lies of Locke Lamora,Scott Lynch,Fantasy,Description not available.,6.1,The Lies of Locke Lamora Scott Lynch Fantasy Description not available.
10,The Assassin’s Blade,Sarah J. Maas,Fantasy,Description not available.,8.3,The Assassin’s Blade Sarah J. Maas Fantasy Description not available.
11,Wizard's First Rule,Terry Goodkind,Fantasy,Description not available.,9.0,Wizard's First Rule Terry Goodkind Fantasy Description not available.
12,Krew elfów,Andrzej Sapkowski,Fantasy,Description not available.,8.7,Krew elfów Andrzej Sapkowski Fantasy Description not available.
13,The Poppy War,R. F. Kuang,Fantasy,Description not available.,7.1,The Poppy War R. F. Kuang Fantasy Description not available.
14,The Eye of the World,Robert Jordan,Fantasy,Description not available.,9.4,The Eye of the World Robert Jordan Fantasy Description not available.
15,The Princess Bride,William Goldman,Fantasy,Description not available.,9.0,The Princess Bride William Goldman Fantasy Description not available.
16,Lord of Chaos,Robert Jordan,Fantasy,Description not available.,7.4,Lord of Chaos Robert Jordan Fantasy Description not available.
17,The Alloy of Law,Brandon Sanderson,Fantasy,Description not available.,9.6,The Alloy of Law Brandon Sanderson Fantasy Description not available.
18,Small Gods,Terry Pratchett,Fantasy,Description not available.,9.0,Small Gods Terry Pratchett Fantasy Description not available.
19,The Silmarillion,J.R.R. Tolkien,Fantasy,Description not available.,6.4,The Silmarillion J.R.R. Tolkien Fantasy Description not available.
20,The Way of Kings,Brandon Sanderson,Fantasy,Description not available.,9.0,The Way of Kings Brandon Sanderson Fantasy Description not available.
21,Elantris,Brandon Sanderson,Fantasy,Description not available.,8.6,Elantris Brandon Sanderson Fantasy Description not available.
22,Phantastes,George MacDonald,Fantasy,Description not available.,9.1,Phantastes George MacDonald Fantasy Description not available.
